timestamp,SPY_close,EWA_close,EWC_close,EWJ_close,EWU_close,EWZ_close,EWW_close,EZU_close,IWM_close,MCHI_close
2022-04-01 04:00:00+00:00,452.92,26.69,40.22,61.93,33.93,39.14,55.36,43.66,207.57,54.75
2022-04-04 04:00:00+00:00,456.8,26.88,40.62,62.43,33.9,39.52,55.07,43.67,207.91,56.49
2022-04-05 04:00:00+00:00,451.03,26.74,40.33,60.8,33.95,38.32,54.14,42.88,202.99,54.92
2022-04-06 04:00:00+00:00,446.52,26.56,39.9,59.89,33.99,37.67,53.61,42.04,200.11,54.02
2022-04-07 04:00:00+00:00,448.77,26.53,39.79,59.68,34.14,37.77,53.43,42.16,199.46,53.07
2022-04-08 04:00:00+00:00,447.57,26.54,39.89,59.43,34.2,37.86,53.16,42.14,197.87,53.21
2022-04-11 04:00:00+00:00,439.92,26.26,39.57,58.5,33.84,37.6,53.24,41.84,196.54,51.94
2022-04-12 04:00:00+00:00,438.29,26.36,39.4,57.73,33.67,37.55,53.12,41.52,197.16,51.88
2022-04-13 04:00:00+00:00,443.31,26.5,39.81,58.56,34.08,37.6,53.5,42.05,200.91,52.74
2022-04-14 04:00:00+00:00,437.79,26.39,39.68,58.4,34.1,37.24,52.66,41.84,198.96,52.21
2022-04-18 04:00:00+00:00,437.97,26.31,39.71,57.7,33.94,37.49,53.42,41.78,197.62,51.81
2022-04-19 04:00:00+00:00,445.04,26.64,40.02,57.71,34.02,37.18,53.18,41.98,201.56,51.46
2022-04-20 04:00:00+00:00,444.71,26.8,40.34,58.25,34.17,37.3,52.77,42.56,202.33,49.9
2022-04-21 04:00:00+00:00,438.06,26.28,39.45,57.77,33.73,36.32,51.74,42.35,197.8,48.19
2022-04-22 04:00:00+00:00,426.04,25.29,38.18,56.91,32.98,34.75,51.48,41.67,192.68,48.49
2022-04-25 04:00:00+00:00,428.51,24.86,37.84,57.26,32.58,34.09,51.28,41.4,193.85,47.56
2022-04-26 04:00:00+00:00,416.1,24.4,37.01,56.05,31.75,32.58,50.41,39.96,187.74,46.5
2022-04-27 04:00:00+00:00,417.27,24.62,37.09,56.27,32.02,33.01,50.15,40.01,186.96,48.16
2022-04-28 04:00:00+00:00,427.81,24.98,37.88,57.3,32.46,33.44,50.51,40.68,190.45,48.65
2022-04-29 04:00:00+00:00,412.0,24.58,37.05,56.62,32.3,32.77,49.43,40.11,184.95,50.46
2022-05-02 04:00:00+00:00,414.48,24.51,36.96,56.6,32.13,31.63,49.7,40.01,186.89,50.73
2022-05-03 04:00:00+00:00,416.38,24.79,37.46,57.05,32.59,32.17,49.4,40.31,188.49,51.34
2022-05-04 04:00:00+00:00,429.06,25.37,38.29,58.06,33.04,33.09,50.49,41.16,193.52,51.57
2022-05-05 04:00:00+00:00,413.81,24.45,37.07,56.47,32.04,31.66,49.1,39.85,185.67,48.97
2022-05-06 04:00:00+00:00,411.34,24.09,36.82,56.69,31.59,31.34,48.43,39.28,182.58,47.52
2022-05-09 04:00:00+00:00,398.17,23.29,35.39,55.09,30.71,30.25,47.54,38.19,174.9,45.78
2022-05-10 04:00:00+00:00,399.09,23.31,35.16,55.17,30.95,30.3,47.63,38.6,174.95,46.45
2022-05-11 04:00:00+00:00,392.75,23.24,35.19,54.57,30.71,30.67,47.95,38.5,170.6,46.4
2022-05-12 04:00:00+00:00,392.34,22.8,34.88,55.18,30.56,31.09,48.15,38.3,172.6,46.45
2022-05-13 04:00:00+00:00,401.72,23.63,35.9,56.32,31.53,31.89,48.9,39.42,178.07,48.32
2022-05-16 04:00:00+00:00,400.09,23.72,36.24,56.02,31.9,32.35,49.78,39.5,177.22,48.23
2022-05-17 04:00:00+00:00,408.32,24.12,36.84,56.43,32.54,33.16,50.9,40.58,182.64,49.75
2022-05-18 04:00:00+00:00,391.86,23.52,35.91,55.89,31.64,32.14,49.66,39.27,176.24,48.38
2022-05-19 04:00:00+00:00,389.46,23.83,36.32,56.37,31.76,32.82,50.75,39.695,176.53,49.57
2022-05-20 04:00:00+00:00,389.63,24.04,36.21,57.09,32.08,33.62,51.11,39.85,176.08,49.74
